name,category,price,url
Przerzutka tylna SRAM XX1 Eagle AXS,przerzutki,2599.0,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-xx1-eagle-axs-pd20369/
Przerzutka tylna SRAM GX Eagle Type 3 ,przerzutki,389.99,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-gx-eagle-type-3-pd16721/
Przerzutka tylna SHIMANO Deore XT RD-M8250 Di2,przerzutki,2049.0,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-rd-m8250-di2-pd49345/
Przerzutka tylna SHIMANO Deore RD-M4120,przerzutki,94.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-rd-m4120-pd22292/
Przerzutka tylna SHIMANO Deore RD-M5120,przerzutki,124.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-rd-m5120-pd23967/
Przerzutka tylna SHIMANO SLX RD-M7100,przerzutki,199.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-slx-rd-m7100-pd20164/
Przerzutka tylna SHIMANO Deore XT Linkglide RD-M8130-SGS,przerzutki,279.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-linkglide-rd-m8130-sgs-pd30846/
Przerzutka tylna SHIMANO Deore XT RD-M8100,przerzutki,304.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-rd-m8100-pd20217/
Przerzutka tylna SRAM Eagle 70 Transmission,przerzutki,439.99,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-eagle-70-transmission-pd48172/
Przerzutka tylna SHIMANO Saint RD-M820,przerzutki,464.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-saint-rd-m820-pd7620/
Przerzutka tylna SHIMANO XTR RD-M9100,przerzutki,619.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-xtr-rd-m9100-pd18861/
Przerzutka tylna SRAM Eagle 90 Transmission,przerzutki,649.99,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-eagle-90-transmission-pd48170/
Przerzutka tylna SRAM X01 Eagle,przerzutki,899.99,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-x01-eagle-pd15978/
Przerzutka tylna SHIMANO Deore Di2 RD-M6250-SGS,przerzutki,1189.0,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-di2-rd-m6250-sgs-pd51379/
Przerzutka tylna SRAM GX Eagle AXS,przerzutki,1299.0,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-gx-eagle-axs-pd25562/
Przerzutka tylna SHIMANO Deore XT Di2 RD-M8150,przerzutki,1299.0,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-di2-rd-m8150-pd39748/
